fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.Histone,Max.Histone,Mean.G,Max.G,Mean.rRNA,Max.rRNA,Mean.GFAP,Max.GFAP,Mean.DAPI,Max.DAPI
1,367,11631,1.35,219,780,171619,12121.6666666667,152,113,12925,54487,78,283,360,1483,39,539,243,1175
1,368,11686,0.8,388,758,171788,12099.6666666667,113,141,22579,58743,116,4857,408,3485,62,6666,195,1142
1,370,2885,0.37,18,774,171418,12115.6666666667,37,101,16870,48663,143,3836,264,3003,83,4613,147,881
1,371,13804,0.66,566,742,171966,12083.6666666667,109,165,8768,47543,138,4448,399,3832,57,5180,76,239
1,377,4388,0.95,280,726,171680,12067.6666666667,80,84,2593,7367,64,249,295,1022,54,574,157,740
1,390,12917,0.97,758,600,172158,11941.6666666667,133,137,5047,17751,70,4214,451,3132,73,4843,214,1280
1,392,11071,0.84,178,588,171578,11929.6666666667,109,129,15644,51959,62,258,317,1318,27,1029,247,1035
1,393,5732,1.09,338,606,171738,11947.6666666667,93,85,11272,44439,107,345,192,891,48,709,88,500
1,396,5657,1,70,566,171470,11907.6666666667,93,93,3250,10695,45,223,282,1135,31,402,177,895
1,401,8756,1.11,682,524,172082,11865.6666666667,117,105,25216,58743,155,4277,241,3565,86,6174,217,1099
1,413,13840,0.64,472,406,171872,11747.6666666667,121,189,20101,58743,110,4771,245,3304,50,5623,276,1656
1,415,6876,0.87,415,434,171815,11775.6666666667,88,101,10989,50839,83,337,250,1008,43,1068,427,1402
1,418,13906,1,96,392,171496,11733.6666666667,137,137,2641,11479,35,350,416,1323,41,882,119,994
1,421,16962,0.7,560,334,171960,11675.6666666667,121,173,20715,58743,95,3121,438,2849,45,3782,270,1376
1,431,12651,0.68,476,222,171876,11563.6666666667,113,165,15114,58695,71,4105,356,3239,37,4636,153,1018
1,437,17460,0.93,258,152,171658,11493.6666666667,149,161,7025,33591,37,3611,405,2485,40,5505,91,877
1,443,9480,0.9,578,128,171978,11469.6666666667,109,121,1842,18247,62,247,374,1197,32,501,15,129
1,449,6160,0.54,37,71,171437,11412.6666666667,76,140,19020,58743,80,3652,365,2334,39,4121,97,543
1,450,10734,0.82,88,65,171488,11406.6666666667,105,128,16227,51447,60,3106,341,2383,46,3571,135,1115
1,558,7924,0.39,455,637,171855,11978.6666666667,75,191,976,11975,269,599,282,917,141,963,153,371
1,562,5130,0.69,252,602,171652,11943.6666666667,72,105,2523,11271,75,261,172,764,47,732,162,923
1,563,7798,0.94,581,588,171981,11929.6666666667,99,105,2712,10679,103,655,153,1057,53,1056,145,856
1,567,5720,0.53,30,487,171430,11828.6666666667,61,115,773,2906,53,299,78,829,35,1131,434,1620
1,571,2208,0.84,162,425,171562,11766.6666666667,53,63,628,4933,68,251,58,440,38,902,83,495
1,576,7225,1.2,771,214,172171,11555.6666666667,107,89,3420,13127,64,332,40,543,40,621,312,1278
1,581,6026,0.85,645,57,172045,11398.6666666667,95,112,206,982,179,433,140,657,79,1834,80,264
1,583,3241,1.02,180,33,171580,11374.6666666667,65,64,194,2382,50,163,66,383,24,382,107,659
